ID,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival
0x9cba ,Buffet ,scooter ,1,No 
0x9b79 ,Snack ,motorcycle ,1,No 
0x596a ,Drinks ,motorcycle ,1,No 
0x78aa ,Meal ,motorcycle ,1,No 
0xd7ec ,Buffet ,motorcycle ,0,No 
0x55b1 ,Drinks ,motorcycle ,1,No 
0x87e4 ,Meal ,motorcycle ,3,No 
0x82c3 ,Drinks ,scooter ,1,No 
0x5397 ,Buffet ,motorcycle ,1,No 
0x876b ,Buffet ,motorcycle ,0,No 
0x3a5a ,Snack ,scooter ,1,No 
0x51e4 ,Snack ,motorcycle ,0,No 
0x5631 ,Meal ,motorcycle ,3,No 
0x1dac ,Drinks ,electric_scooter ,1,No 
0xde01 ,Snack ,motorcycle ,1,No 
0x8771 ,Drinks ,motorcycle ,0,No 
0x3645 ,Drinks ,scooter ,0,No 
0x1ff1 ,Buffet ,scooter ,1,No 
0x4a3c ,Meal ,motorcycle ,1,No 
0x6e0d ,Meal ,scooter ,1,No 
0x6cc6 ,Snack ,scooter ,0,No 
0xc141 ,Meal ,motorcycle ,1,No 
0x690f ,Snack ,motorcycle ,1,No 
0xb4ba ,Meal ,scooter ,1,No 
0x63a9 ,Buffet ,scooter ,1,No 
0x88dd ,Buffet ,motorcycle ,1,No 
0x1b58 ,Drinks ,motorcycle ,0,No 
0x87a8 ,Meal ,motorcycle ,0,No 
0x3f8d ,Snack ,motorcycle ,1,No 
0x290c ,Drinks ,motorcycle ,3,No 
0x7ece ,Buffet ,motorcycle ,1,Yes 
0x1365 ,Meal ,motorcycle ,0,No 
0x33a4 ,Drinks ,motorcycle ,1,No 
0x8f3c ,Snack ,motorcycle ,1,No 
0x2fe1 ,Snack ,scooter ,0,No 
0x4b5b ,Meal ,motorcycle ,1,Yes 
0x7405 ,Buffet ,motorcycle ,0,No 
0x6245 ,Buffet ,motorcycle ,NaN ,No 
0xd02b ,Meal ,motorcycle ,1,No 
0x1f0e ,Drinks ,motorcycle ,0,No 
0x7085 ,Meal ,motorcycle ,1,No 
0x57fa ,Meal ,electric_scooter ,1,No 
0x57fc ,Meal ,motorcycle ,1,No 
0x7a1f ,Snack ,motorcycle ,2,Yes 
0xceac ,Buffet ,motorcycle ,0,No 
0xa0a5 ,Snack ,motorcycle ,1,No 
0x892d ,Snack ,scooter ,NaN ,No 
0x6118 ,Snack ,motorcycle ,0,No 
0x46fd ,Meal ,motorcycle ,1,No 
0x5134 ,Snack ,motorcycle ,0,No 
0xd418 ,Meal ,scooter ,1,No 
0x256c ,Meal ,motorcycle ,1,No 
0x6055 ,Snack ,motorcycle ,2,No 
0x7bfb ,Snack ,motorcycle ,0,No 
0x7220 ,Drinks ,electric_scooter ,NaN ,No 
0x1568 ,Snack ,motorcycle ,1,No 
0x41ea ,Buffet ,scooter ,NaN ,No 
0x1c60 ,Buffet ,electric_scooter ,0,No 
0x7944 ,Drinks ,motorcycle ,0,No 
0x77ee ,Drinks ,scooter ,1,No 
0x2192 ,Buffet ,motorcycle ,1,No 
0x48c7 ,Drinks ,motorcycle ,1,No 
0x78bf ,Meal ,motorcycle ,1,No 
0x7a5a ,Snack ,motorcycle ,1,No 
0x4321 ,Drinks ,electric_scooter ,0,No 
0xe00d ,Meal ,scooter ,1,No 
0x1e86 ,Meal ,scooter ,1,No 
0xcff0 ,Meal ,motorcycle ,1,No 
0x1e2d ,Snack ,motorcycle ,1,No 
0xd072 ,Snack ,motorcycle ,0,No 
0x9a57 ,Snack ,motorcycle ,1,No 
0x427b ,Meal ,motorcycle ,0,No 
0x52e2 ,Buffet ,motorcycle ,1,No 
0x9395 ,Snack ,motorcycle ,NaN ,No 
0xb5d2 ,Meal ,motorcycle ,1,No 
0x6c4d ,Buffet ,scooter ,1,No 
0xd1c8 ,Drinks ,scooter ,1,No 
0x98ca ,Buffet ,electric_scooter ,1,No 
0x1b5b ,Snack ,scooter ,0,No 
0x644b ,Snack ,motorcycle ,2,No 
0x7a2d ,Buffet ,motorcycle ,1,No 
0xe13f ,Buffet ,motorcycle ,1,No 
0xc278 ,Drinks ,motorcycle ,1,No 
0x5912 ,Drinks ,scooter ,1,No 
0xab33 ,Drinks ,scooter ,0,No 
0xdd96 ,Meal ,scooter ,1,No 
0x7646 ,Snack ,motorcycle ,1,No 
0x5ef5 ,Drinks ,motorcycle ,0,No 
0x7ef7 ,Buffet ,motorcycle ,0,No 
0x1136 ,Drinks ,motorcycle ,0,No 
0xd032 ,Buffet ,motorcycle ,1,No 
0x199d ,Buffet ,motorcycle ,NaN ,No 
0x871c ,Drinks ,motorcycle ,1,No 
0xcf18 ,Buffet ,motorcycle ,1,No 
0x1dad ,Snack ,motorcycle ,0,No 
0xc918 ,Snack ,motorcycle ,0,No 
0x33c1 ,Meal ,motorcycle ,1,No 
0x1b50 ,Buffet ,motorcycle ,1,Yes 
0x27fe ,Buffet ,motorcycle ,1,No 
0x1536 ,Drinks ,motorcycle ,1,No 
0xa152 ,Snack ,scooter ,0,No 
0x9c9a ,Meal ,motorcycle ,0,No 
0x3052 ,Snack ,motorcycle ,1,No 
0x1045 ,Buffet ,motorcycle ,1,No 
0x2391 ,Buffet ,scooter ,0,No 
0x7ddd ,Drinks ,motorcycle ,1,No 
0x279f ,Buffet ,motorcycle ,1,No 
0xe76 ,Snack ,scooter ,1,No 
0xaefa ,Snack ,motorcycle ,0,No 
0xdad6 ,Buffet ,scooter ,1,No 
0xc237 ,Meal ,scooter ,1,No 
0x4efc ,Drinks ,motorcycle ,1,No 
0x6e33 ,Snack ,scooter ,0,No 
0xd92f ,Buffet ,motorcycle ,2,No 
0xd902 ,Drinks ,motorcycle ,3,No 
0xd91a ,Snack ,motorcycle ,1,No 
0x4f0c ,Meal ,scooter ,0,No 
0x8456 ,Snack ,scooter ,0,No 
0x3329 ,Buffet ,motorcycle ,1,No 
0x1aa8 ,Snack ,motorcycle ,1,No 
0x144d ,Drinks ,motorcycle ,1,No 
0xd27b ,Meal ,motorcycle ,1,No 
0xadd6 ,Buffet ,motorcycle ,3,Yes 
0x7c60 ,Buffet ,motorcycle ,1,Yes 
0x4fb8 ,Snack ,motorcycle ,1,No 
0x1406 ,Drinks ,scooter ,1,No 
0xc63e ,Meal ,scooter ,2,No 
0x7b03 ,Buffet ,motorcycle ,1,No 
0x4314 ,Buffet ,motorcycle ,2,No 
0x9e5a ,Meal ,scooter ,0,No 
0xc044 ,Meal ,scooter ,1,No 
0xd7d3 ,Drinks ,motorcycle ,2,No 
0x70b1 ,Buffet ,motorcycle ,1,No 
0x59e5 ,Buffet ,motorcycle ,1,No 
0xdeac ,Snack ,electric_scooter ,1,No 
0xa053 ,Snack ,motorcycle ,1,No 
0x4db ,Meal ,scooter ,0,No 
0x7031 ,Snack ,scooter ,NaN ,No 
0xd3bc ,Drinks ,motorcycle ,1,No 
0x8de9 ,Buffet ,scooter ,1,No 
0x7c84 ,Meal ,electric_scooter ,0,No 
0x96d2 ,Snack ,scooter ,1,No 
0x77b5 ,Buffet ,motorcycle ,1,No 
0x75dc ,Drinks ,motorcycle ,0,No 
0xbe78 ,Snack ,scooter ,0,No 
0x35a2 ,Drinks ,motorcycle ,1,No 
0x416f ,Snack ,electric_scooter ,0,No 
0xa4f5 ,Snack ,electric_scooter ,0,No 
0xa4eb ,Drinks ,motorcycle ,1,No 
0xd4da ,Buffet ,motorcycle ,1,No 
0xb59b ,Drinks ,motorcycle ,1,No 
0x4f73 ,Drinks ,scooter ,1,No 
0x6a7 ,Drinks ,scooter ,1,No 
0xadae ,Snack ,motorcycle ,0,No 
0xb785 ,Snack ,motorcycle ,2,No 
0x8366 ,Buffet ,motorcycle ,1,No 
0xbff2 ,Drinks ,electric_scooter ,1,No 
0x8f58 ,Buffet ,motorcycle ,0,No 
0x247c ,Drinks ,scooter ,1,No 
0x43b9 ,Meal ,motorcycle ,1,No 
0x9e8a ,Snack ,scooter ,1,No 
0x47af ,Buffet ,motorcycle ,0,No 
0x1b40 ,Snack ,motorcycle ,0,No 
0xb4fb ,Meal ,motorcycle ,NaN ,No 
0xb50 ,Meal ,scooter ,1,No 
0x3376 ,Snack ,motorcycle ,1,No 
0xbecb ,Drinks ,motorcycle ,1,No 
0x4357 ,Drinks ,motorcycle ,1,No 
0x1486 ,Meal ,motorcycle ,2,No 
0x5b70 ,Snack ,electric_scooter ,0,No 
0x490e ,Meal ,scooter ,2,No 
0x3e21 ,Buffet ,motorcycle ,1,No 
0x26d4 ,Buffet ,scooter ,1,No 
0xb20f ,Drinks ,electric_scooter ,0,No 
0x7ada ,Drinks ,scooter ,1,No 
0xc4b3 ,Drinks ,motorcycle ,1,No 
0x2a01 ,Drinks ,motorcycle ,0,No 
0x6357 ,Buffet ,scooter ,1,No 
0x73c ,Meal ,motorcycle ,1,No 
0x9c2a ,Meal ,scooter ,1,No 
0x31bd ,Buffet ,scooter ,1,No 
0x970a ,Buffet ,motorcycle ,1,No 
0x2675 ,Drinks ,scooter ,1,No 
0xa200 ,Drinks ,motorcycle ,1,No 
0x9bf9 ,Drinks ,motorcycle ,1,No 
0x555d ,Snack ,motorcycle ,1,No 
0x5bd9 ,Buffet ,scooter ,1,No 
0xb2e9 ,Meal ,electric_scooter ,1,No 
0x8633 ,Buffet ,electric_scooter ,1,No 
0x4c34 ,Drinks ,motorcycle ,1,No 
0xa998 ,Snack ,motorcycle ,1,No 
0x5efd ,Snack ,motorcycle ,0,No 
0x8d83 ,Buffet ,motorcycle ,1,No 
0x8a06 ,Buffet ,scooter ,1,No 
0x5a2d ,Snack ,scooter ,1,No 
0x4c1 ,Drinks ,scooter ,1,No 
0x83ea ,Buffet ,motorcycle ,1,No 
0x2185 ,Snack ,scooter ,1,No 
0x12e7 ,Meal ,electric_scooter ,1,No 
0x5956 ,Meal ,motorcycle ,1,No 
0x7814 ,Meal ,motorcycle ,1,No 
0xcee ,Drinks ,scooter ,2,Yes 
0x5a07 ,Drinks ,motorcycle ,1,No 
0x340f ,Buffet ,scooter ,0,No 
0x8094 ,Drinks ,motorcycle ,1,No 
0x3241 ,Drinks ,motorcycle ,1,No 
0xde16 ,Meal ,motorcycle ,0,No 
0xa176 ,Buffet ,scooter ,1,No 
0xc8c7 ,Meal ,motorcycle ,1,No 
0xaa97 ,Snack ,motorcycle ,1,No 
0xa64c ,Meal ,electric_scooter ,0,No 
0x7df5 ,Buffet ,motorcycle ,1,No 
0x869e ,Meal ,scooter ,1,No 
0x7725 ,Meal ,motorcycle ,1,No 
0xb6d2 ,Drinks ,scooter ,1,No 
0x6edb ,Meal ,scooter ,0,No 
0xaab4 ,Buffet ,motorcycle ,1,No 
0xaabd ,Buffet ,motorcycle ,0,No 
0xc873 ,Drinks ,motorcycle ,3,Yes 
0x1494 ,Meal ,motorcycle ,1,No 
0x1875 ,Drinks ,scooter ,0,No 
0x2af5 ,Meal ,motorcycle ,3,No 
0x97b6 ,Snack ,motorcycle ,2,No 
0xa56e ,Meal ,motorcycle ,0,No 
0xaa3f ,Drinks ,scooter ,2,No 
0x6226 ,Snack ,motorcycle ,0,No 
0x996b ,Drinks ,motorcycle ,0,No 
0xc595 ,Meal ,motorcycle ,0,No 
0x6bfb ,Snack ,scooter ,1,No 
0x7e1f ,Drinks ,motorcycle ,1,No 
0xb20d ,Buffet ,scooter ,0,No 
0xa11b ,Snack ,motorcycle ,NaN ,No 
0x1db4 ,Meal ,motorcycle ,1,No 
0x2258 ,Snack ,motorcycle ,0,No 
0x1fd6 ,Meal ,motorcycle ,1,No 
0x6de1 ,Drinks ,motorcycle ,1,No 
0x8b39 ,Drinks ,motorcycle ,1,Yes 
0x8f8 ,Snack ,motorcycle ,0,No 
0x997b ,Meal ,motorcycle ,1,No 
0xcdb6 ,Buffet ,motorcycle ,1,No 
0x5a7a ,Buffet ,scooter ,1,No 
0x6de3 ,Meal ,motorcycle ,2,No 
0xe27a ,Drinks ,scooter ,1,No 
0xab52 ,Drinks ,scooter ,0,No 
0x4632 ,Buffet ,motorcycle ,1,No 
0x4b8a ,Drinks ,scooter ,0,No 
0x1623 ,Meal ,motorcycle ,0,No 
0xaa66 ,Drinks ,motorcycle ,0,No 
0x7ea ,Drinks ,motorcycle ,0,No 
0x4dfa ,Snack ,motorcycle ,1,No 
0xa667 ,Meal ,motorcycle ,1,No 
0x6e9d ,Buffet ,motorcycle ,1,No 
0x5807 ,Meal ,scooter ,0,No 
0x9a32 ,Drinks ,motorcycle ,1,No 
0x917d ,Snack ,scooter ,0,No 
0x8673 ,Buffet ,motorcycle ,1,No 
0x4ac4 ,Snack ,motorcycle ,1,No 
0x1b6a ,Meal ,scooter ,1,No 
0x7bd7 ,Snack ,scooter ,1,No 
0x9735 ,Buffet ,scooter ,0,No 
0x1a54 ,Buffet ,motorcycle ,3,Yes 
0x819d ,Meal ,motorcycle ,1,No 
0x96f0 ,Meal ,electric_scooter ,1,No 
0x66f1 ,Buffet ,motorcycle ,1,No 
0xc6e9 ,Meal ,electric_scooter ,1,No 
0xb8aa ,Snack ,motorcycle ,0,No 
0xc668 ,Drinks ,motorcycle ,1,No 
0x4c13 ,Drinks ,motorcycle ,1,No 
0x824a ,Buffet ,motorcycle ,0,No 
0xcb5b ,Drinks ,motorcycle ,1,No 
0x4cab ,Meal ,motorcycle ,1,No 
0xafc4 ,Snack ,scooter ,1,No 
0xc003 ,Snack ,scooter ,1,No 
0x18c0 ,Buffet ,motorcycle ,0,No 
0x1655 ,Drinks ,motorcycle ,1,No 
0x7573 ,Buffet ,motorcycle ,1,No 
0x9201 ,Meal ,motorcycle ,1,No 
0xa940 ,Snack ,motorcycle ,0,No 
0x604 ,Drinks ,scooter ,0,No 
0xd6ef ,Meal ,scooter ,0,No 
0xb39b ,Snack ,scooter ,0,No 
0x8ce7 ,Drinks ,scooter ,NaN ,No 
0x9873 ,Drinks ,motorcycle ,1,No 
0x29ab ,Meal ,scooter ,1,No 
0x8198 ,Buffet ,scooter ,0,No 
0x7b24 ,Meal ,motorcycle ,2,No 
0x92ec ,Drinks ,scooter ,1,No 
0x1aca ,Drinks ,motorcycle ,1,No 
0xa348 ,Buffet ,scooter ,0,No 
0xc733 ,Drinks ,motorcycle ,0,No 
0x14d0 ,Drinks ,motorcycle ,0,No 
0xd800 ,Buffet ,scooter ,1,No 
0x17db ,Drinks ,motorcycle ,1,No 
0x6d58 ,Drinks ,motorcycle ,1,No 
0xded5 ,Meal ,motorcycle ,3,Yes 
0xa20a ,Drinks ,scooter ,0,No 
0x7c9e ,Snack ,scooter ,0,No 
0x5ef3 ,Buffet ,motorcycle ,0,No 
0x80c2 ,Meal ,motorcycle ,1,No 
0xd2b0 ,Drinks ,motorcycle ,2,No 
0x70ff ,Drinks ,scooter ,0,No 
0x548e ,Meal ,motorcycle ,3,No 
0x26f1 ,Buffet ,motorcycle ,0,No 
0x4a1b ,Drinks ,motorcycle ,0,No 
0xbf6c ,Buffet ,motorcycle ,1,No 
0x5561 ,Drinks ,scooter ,1,No 
0xafd4 ,Buffet ,electric_scooter ,0,No 
0x6957 ,Drinks ,scooter ,0,No 
0x9151 ,Buffet ,scooter ,1,No 
0x9d4c ,Snack ,motorcycle ,0,No 
0xd413 ,Meal ,motorcycle ,1,No 
0xc677 ,Meal ,scooter ,1,No 
0x4421 ,Drinks ,motorcycle ,0,No 
0xa631 ,Snack ,electric_scooter ,0,No 
0x3a16 ,Snack ,motorcycle ,1,No 
0xdf8e ,Drinks ,motorcycle ,1,No 
0xa04 ,Snack ,scooter ,1,No 
0x4300 ,Buffet ,motorcycle ,0,No 
0x58c2 ,Drinks ,scooter ,1,No 
0xbbc6 ,Buffet ,motorcycle ,1,No 
0x50c4 ,Buffet ,motorcycle ,NaN ,No 
0xbcd5 ,Buffet ,electric_scooter ,1,No 
0x6234 ,Drinks ,scooter ,0,No 
0xcc11 ,Meal ,scooter ,1,No 
0x6445 ,Snack ,motorcycle ,1,No 
0x33dc ,Drinks ,motorcycle ,0,No 
0xacd8 ,Snack ,motorcycle ,2,Yes 
0xbfb4 ,Snack ,scooter ,1,No 
0xd989 ,Drinks ,motorcycle ,0,No 
0x8b3f ,Buffet ,motorcycle ,1,No 
0xdeb4 ,Snack ,motorcycle ,1,No 
0xa243 ,Snack ,scooter ,1,No 
0xd446 ,Drinks ,electric_scooter ,0,No 
0x6436 ,Buffet ,scooter ,1,No 
0x5d2d ,Meal ,scooter ,1,No 
0xbb22 ,Buffet ,motorcycle ,1,No 
0x8b2b ,Buffet ,scooter ,1,No 
0xc1ec ,Buffet ,motorcycle ,0,No 
0xde6f ,Buffet ,motorcycle ,0,No 
0x33a0 ,Drinks ,motorcycle ,1,No 
0xb712 ,Drinks ,electric_scooter ,0,No 
0x8299 ,Drinks ,motorcycle ,1,No 
0x9e30 ,Buffet ,scooter ,1,No 
0x9155 ,Buffet ,scooter ,0,No 
0x3d8c ,Buffet ,electric_scooter ,1,No 
0xd3fa ,Drinks ,scooter ,0,No 
0xbb9 ,Drinks ,scooter ,0,No 
0xb012 ,Snack ,motorcycle ,1,No 
0xdcaa ,Meal ,motorcycle ,2,No 
0x9587 ,Snack ,motorcycle ,3,No 
0x43ba ,Meal ,motorcycle ,1,No 
0x5803 ,Buffet ,scooter ,NaN ,No 
0x70f5 ,Drinks ,scooter ,1,No 
0x575d ,Drinks ,motorcycle ,0,No 
0x6ef ,Drinks ,motorcycle ,0,No 
0x4f3c ,Buffet ,motorcycle ,1,No 
0xb9bc ,Buffet ,motorcycle ,0,No 
0xb209 ,Drinks ,scooter ,1,No 
0x4f9a ,Buffet ,motorcycle ,1,No 
0x8011 ,Drinks ,scooter ,1,No 
0x9692 ,Snack ,motorcycle ,2,No 
0x9415 ,Meal ,motorcycle ,1,No 
0xb6a0 ,Drinks ,motorcycle ,0,No 
0x7bf ,Buffet ,scooter ,1,Yes 
0x7cb8 ,Meal ,scooter ,0,No 
0x953 ,Buffet ,motorcycle ,1,No 
0x9c8c ,Buffet ,motorcycle ,0,No 
0xb38b ,Drinks ,scooter ,1,No 
0x4d5b ,Meal ,motorcycle ,1,No 
0x8f9e ,Drinks ,motorcycle ,1,No 
0x3b2e ,Drinks ,scooter ,1,No 
0x2cb6 ,Drinks ,motorcycle ,0,No 
0x9d2b ,Snack ,motorcycle ,1,No 
0x7943 ,Drinks ,scooter ,0,No 
0x205d ,Snack ,scooter ,0,No 
0x5aad ,Snack ,motorcycle ,1,No 
0xd747 ,Drinks ,motorcycle ,1,No 
0xac01 ,Buffet ,motorcycle ,0,No 
0x9098 ,Drinks ,scooter ,0,No 
0xaff ,Meal ,scooter ,1,No 
0xa3a6 ,Snack ,motorcycle ,1,No 
0x473 ,Buffet ,scooter ,NaN ,No 
0xe076 ,Snack ,scooter ,2,No 
0x8a91 ,Meal ,motorcycle ,0,No 
0x788d ,Buffet ,scooter ,2,No 
0x6948 ,Meal ,motorcycle ,0,No 
0x28e9 ,Snack ,scooter ,0,No 
0x53ea ,Snack ,motorcycle ,1,No 
0xcd30 ,Drinks ,motorcycle ,1,No 
0x57ce ,Drinks ,motorcycle ,1,No 
0x3d57 ,Snack ,scooter ,1,No 
0xdd28 ,Meal ,motorcycle ,1,No 
0x1b03 ,Snack ,motorcycle ,0,No 
0x9646 ,Buffet ,scooter ,1,No 
0x3e9b ,Meal ,motorcycle ,1,No 
0x5a5d ,Buffet ,scooter ,0,No 
0x33dd ,Meal ,electric_scooter ,1,No 
0xab46 ,Snack ,motorcycle ,1,No 
0xa8b9 ,Meal ,motorcycle ,1,No 
0x7096 ,Meal ,motorcycle ,1,No 
0x23b8 ,Snack ,motorcycle ,2,Yes 
0xc55c ,Snack ,motorcycle ,1,No 
0x9b27 ,Buffet ,scooter ,1,No 
0xbc03 ,Snack ,motorcycle ,1,No 
0x38c5 ,Snack ,electric_scooter ,0,No 
0x2997 ,Buffet ,electric_scooter ,1,No 
0x5aa4 ,Snack ,scooter ,1,No 
0x1d9c ,Drinks ,scooter ,1,No 
0xb041 ,Meal ,motorcycle ,0,No 
0x5145 ,Meal ,scooter ,1,No 
0x91ba ,Snack ,scooter ,1,No 
0xc951 ,Buffet ,motorcycle ,1,No 
0xb0e7 ,Buffet ,electric_scooter ,1,No 
0x1a1e ,Snack ,scooter ,1,No 
0xcdf4 ,Snack ,scooter ,0,No 
