Delivery_person_ID,Delivery_person_Age,Vehicle_condition
KOLRES15DEL03 ,31,0
MYSRES15DEL02 ,27,0
COIMBRES19DEL01 ,29,1
COIMBRES09DEL03 ,38,0
SURRES19DEL02 ,35,2
BANGRES20DEL03 ,31,0
CHENRES16DEL03 ,30,1
RANCHIRES12DEL03 ,24,1
HYDRES11DEL03 ,33,2
DEHRES19DEL01 ,29,0
MUMRES15DEL01 ,38,2
RANCHIRES18DEL03 ,26,0
VADRES07DEL01 ,39,2
VADRES04DEL01 ,24,0
PUNERES17DEL03 ,34,0
JAPRES07DEL03 ,26,2
INDORES07DEL01 ,35,2
BANGRES04DEL03 ,36,0
VADRES01DEL01 ,24,1
VADRES18DEL01 ,NaN ,0
MUMRES07DEL01 ,33,1
AURGRES03DEL01 ,26,1
CHENRES17DEL01 ,32,1
JAPRES20DEL03 ,37,0
KOCRES14DEL02 ,26,2
COIMBRES09DEL02 ,31,1
CHENRES08DEL03 ,37,1
MUMRES08DEL01 ,26,2
INDORES010DEL03 ,37,0
RANCHIRES03DEL02 ,22,2
SURRES04DEL03 ,21,0
BANGRES16DEL01 ,22,0
CHENRES14DEL01 ,38,1
CHENRES03DEL01 ,28,0
VADRES09DEL02 ,29,1
VADRES11DEL01 ,31,1
SURRES12DEL02 ,24,2
VADRES04DEL01 ,33,1
PUNERES11DEL03 ,26,0
RANCHIRES18DEL02 ,NaN ,1
COIMBRES14DEL02 ,20,1
SURRES19DEL02 ,29,1
BANGRES15DEL01 ,32,0
VADRES20DEL01 ,20,0
CHENRES19DEL01 ,26,2
SURRES09DEL01 ,38,2
GOARES17DEL01 ,34,2
JAPRES19DEL02 ,27,1
KOLRES18DEL01 ,29,1
SURRES07DEL02 ,24,2
INDORES12DEL01 ,21,1
LUDHRES16DEL01 ,33,0
RANCHIRES06DEL03 ,35,1
COIMBRES16DEL02 ,35,2
DEHRES13DEL02 ,NaN ,3
MYSRES06DEL03 ,NaN ,0
MUMRES16DEL01 ,29,1
PUNERES19DEL02 ,21,0
BANGRES08DEL01 ,29,0
BANGRES010DEL03 ,22,0
MYSRES20DEL01 ,NaN ,1
AGRRES01DEL02 ,24,2
MYSRES18DEL01 ,23,2
CHENRES010DEL01 ,27,2
COIMBRES20DEL02 ,33,0
HYDRES16DEL01 ,35,2
COIMBRES14DEL03 ,21,1
CHENRES11DEL03 ,39,0
CHENRES010DEL02 ,34,2
SURRES16DEL01 ,29,0
MUMRES07DEL02 ,20,1
ALHRES11DEL01 ,20,0
RANCHIRES01DEL03 ,30,1
DEHRES07DEL02 ,37,2
INDORES08DEL03 ,39,1
HYDRES01DEL01 ,26,0
ALHRES11DEL02 ,32,0
PUNERES13DEL03 ,21,2
BANGRES20DEL02 ,35,2
RANCHIRES01DEL03 ,39,2
BANGRES08DEL02 ,39,0
KOCRES20DEL01 ,27,0
CHENRES16DEL03 ,33,2
HYDRES04DEL02 ,33,0
BANGRES01DEL01 ,37,1
COIMBRES12DEL02 ,20,1
LUDHRES07DEL02 ,20,2
PUNERES010DEL01 ,31,1
COIMBRES19DEL02 ,27,2
VADRES010DEL02 ,37,1
BANGRES14DEL02 ,34,2
COIMBRES05DEL03 ,25,1
AURGRES07DEL02 ,37,0
KOCRES11DEL01 ,23,1
MYSRES17DEL01 ,27,0
HYDRES13DEL02 ,36,2
JAPRES14DEL03 ,30,0
AURGRES20DEL01 ,20,1
COIMBRES13DEL01 ,28,1
VADRES07DEL02 ,36,0
CHENRES08DEL02 ,20,2
PUNERES04DEL01 ,22,0
MYSRES15DEL01 ,28,1
SURRES03DEL01 ,34,2
VADRES01DEL01 ,25,1
AURGRES05DEL02 ,38,1
JAPRES17DEL02 ,34,2
VADRES13DEL01 ,24,1
RANCHIRES04DEL03 ,33,0
KOLRES14DEL02 ,21,1
KOLRES04DEL03 ,25,0
VADRES14DEL01 ,23,0
LUDHRES06DEL02 ,34,1
HYDRES010DEL01 ,25,2
ALHRES08DEL03 ,28,2
PUNERES07DEL01 ,34,1
JAPRES20DEL01 ,24,1
CHENRES14DEL03 ,31,1
MUMRES14DEL03 ,38,1
DEHRES04DEL03 ,32,1
AURGRES03DEL03 ,28,0
JAPRES06DEL03 ,29,0
CHENRES05DEL02 ,28,2
MYSRES15DEL02 ,39,1
VADRES16DEL01 ,39,1
INDORES05DEL02 ,26,2
INDORES02DEL03 ,33,2
ALHRES17DEL03 ,37,1
BANGRES08DEL03 ,NaN ,3
COIMBRES20DEL03 ,24,0
AURGRES03DEL02 ,36,0
VADRES14DEL03 ,22,0
HYDRES04DEL03 ,21,0
SURRES07DEL02 ,29,1
RANCHIRES04DEL02 ,27,0
HYDRES14DEL02 ,NaN ,0
SURRES04DEL01 ,30,1
VADRES18DEL02 ,22,0
COIMBRES13DEL01 ,20,1
BANGRES20DEL01 ,31,0
SURRES19DEL03 ,36,2
JAPRES17DEL02 ,39,0
HYDRES07DEL01 ,32,0
RANCHIRES14DEL01 ,23,0
SURRES13DEL02 ,30,2
INDORES15DEL02 ,26,2
MYSRES07DEL01 ,NaN ,1
SURRES11DEL01 ,21,2
COIMBRES12DEL03 ,23,2
SURRES03DEL02 ,22,1
SURRES14DEL03 ,39,2
CHENRES02DEL02 ,32,1
JAPRES13DEL01 ,25,1
SURRES14DEL01 ,30,1
BANGRES12DEL02 ,25,2
COIMBRES09DEL03 ,26,2
COIMBRES02DEL01 ,30,2
AGRRES07DEL02 ,31,0
INDORES08DEL02 ,33,1
MUMRES19DEL03 ,20,1
MYSRES11DEL02 ,36,1
PUNERES04DEL03 ,20,0
MYSRES07DEL03 ,NaN ,3
AGRRES02DEL03 ,38,2
VADRES06DEL03 ,37,0
JAPRES05DEL01 ,28,2
BANGRES15DEL02 ,39,2
HYDRES03DEL02 ,31,1
HYDRES15DEL02 ,30,0
KOLRES03DEL03 ,27,2
PUNERES11DEL02 ,30,2
BANGRES08DEL02 ,29,2
AGRRES11DEL02 ,35,0
INDORES01DEL02 ,34,0
COIMBRES17DEL02 ,37,2
JAPRES08DEL03 ,34,0
RANCHIRES03DEL02 ,31,1
HYDRES16DEL03 ,23,2
INDORES05DEL02 ,29,0
VADRES12DEL02 ,20,1
PUNERES01DEL03 ,26,0
RANCHIRES14DEL02 ,34,0
AURGRES05DEL02 ,34,1
PUNERES18DEL03 ,21,2
COIMBRES010DEL01 ,35,0
JAPRES02DEL01 ,20,2
MUMRES20DEL02 ,24,2
BANGRES12DEL01 ,25,1
MUMRES06DEL03 ,22,2
RANCHIRES01DEL03 ,38,1
BANGRES11DEL01 ,29,1
BANGRES08DEL01 ,24,1
DEHRES08DEL03 ,36,0
JAPRES20DEL02 ,31,2
MYSRES19DEL03 ,20,1
BHPRES03DEL02 ,25,1
BANGRES19DEL01 ,23,1
JAPRES20DEL02 ,39,0
MYSRES17DEL01 ,21,0
INDORES09DEL01 ,32,2
RANCHIRES11DEL02 ,36,1
COIMBRES15DEL01 ,38,1
BANGRES09DEL01 ,34,0
SURRES04DEL01 ,23,1
MYSRES01DEL02 ,32,2
BANGRES16DEL01 ,31,0
MYSRES19DEL02 ,22,2
MYSRES11DEL02 ,34,2
RANCHIRES16DEL02 ,39,0
JAPRES07DEL02 ,21,1
HYDRES02DEL03 ,34,2
MYSRES16DEL01 ,NaN ,0
CHENRES02DEL02 ,28,1
SURRES18DEL01 ,34,1
BANGRES02DEL02 ,21,1
INDORES04DEL02 ,30,2
COIMBRES13DEL03 ,36,2
PUNERES15DEL01 ,25,0
BANGRES010DEL01 ,38,2
MUMRES16DEL01 ,24,2
MYSRES14DEL03 ,31,0
VADRES14DEL02 ,31,2
HYDRES13DEL01 ,27,2
BANGRES03DEL02 ,23,1
RANCHIRES01DEL01 ,NaN ,3
BANGRES010DEL02 ,25,2
INDORES07DEL01 ,38,2
COIMBRES03DEL02 ,32,0
JAPRES16DEL01 ,22,0
VADRES06DEL03 ,35,2
MYSRES13DEL01 ,35,0
ALHRES11DEL03 ,34,1
PUNERES14DEL01 ,22,2
INDORES11DEL01 ,NaN ,2
BANGRES02DEL02 ,28,2
RANCHIRES16DEL01 ,35,2
BHPRES15DEL03 ,38,1
MUMRES19DEL03 ,31,0
RANCHIRES14DEL01 ,NaN ,3
ALHRES19DEL03 ,26,1
BANGRES16DEL01 ,36,1
COIMBRES19DEL03 ,26,0
LUDHRES010DEL03 ,38,2
JAPRES03DEL03 ,25,2
BANGRES04DEL01 ,25,1
ALHRES09DEL02 ,30,2
CHENRES06DEL03 ,NaN ,1
MUMRES16DEL02 ,NaN ,2
CHENRES09DEL02 ,33,2
COIMBRES02DEL02 ,39,1
MYSRES05DEL03 ,34,2
HYDRES02DEL03 ,37,0
JAPRES18DEL03 ,36,0
PUNERES02DEL01 ,29,0
SURRES01DEL01 ,30,2
VADRES11DEL01 ,32,0
PUNERES010DEL01 ,21,1
BANGRES06DEL02 ,24,2
INDORES16DEL02 ,28,0
AURGRES11DEL01 ,39,0
RANCHIRES20DEL02 ,21,1
SURRES09DEL02 ,24,0
AURGRES09DEL03 ,35,2
KOLRES11DEL02 ,25,0
JAPRES09DEL01 ,20,0
MYSRES13DEL01 ,23,2
MYSRES20DEL01 ,28,1
RANCHIRES010DEL01 ,31,1
JAPRES06DEL01 ,28,2
LUDHRES18DEL03 ,20,0
JAPRES17DEL02 ,26,2
GOARES19DEL01 ,34,2
PUNERES12DEL01 ,24,1
COIMBRES20DEL03 ,35,2
INDORES010DEL03 ,31,2
KOLRES20DEL02 ,20,0
INDORES08DEL01 ,32,0
BHPRES03DEL03 ,25,1
VADRES19DEL03 ,29,0
JAPRES13DEL02 ,20,1
JAPRES09DEL03 ,23,0
INDORES06DEL03 ,33,1
COIMBRES13DEL01 ,24,2
MUMRES09DEL03 ,25,0
SURRES010DEL03 ,NaN ,0
PUNERES19DEL02 ,31,1
MYSRES17DEL01 ,38,2
DEHRES08DEL01 ,22,0
SURRES15DEL01 ,35,2
SURRES03DEL01 ,34,1
CHENRES05DEL03 ,20,2
VADRES04DEL01 ,29,1
VADRES11DEL03 ,20,0
COIMBRES03DEL02 ,30,2
SURRES16DEL01 ,NaN ,2
VADRES08DEL03 ,24,0
ALHRES05DEL01 ,35,1
COIMBRES15DEL01 ,28,1
INDORES20DEL02 ,22,2
COIMBRES17DEL01 ,23,2
VADRES15DEL01 ,32,0
PUNERES12DEL02 ,22,2
RANCHIRES15DEL03 ,34,0
INDORES14DEL01 ,30,0
VADRES13DEL01 ,20,0
SURRES07DEL02 ,20,0
LUDHRES04DEL03 ,39,1
RANCHIRES17DEL02 ,27,2
JAPRES04DEL02 ,35,2
PUNERES06DEL02 ,24,1
BHPRES11DEL03 ,25,0
PUNERES09DEL01 ,28,1
MUMRES07DEL02 ,33,1
JAPRES06DEL02 ,35,2
CHENRES09DEL01 ,30,0
CHENRES18DEL03 ,31,0
BANGRES17DEL03 ,31,2
GOARES19DEL02 ,24,2
MUMRES15DEL02 ,33,2
BHPRES04DEL01 ,39,1
KNPRES19DEL03 ,37,0
JAPRES17DEL03 ,26,0
RANCHIRES07DEL02 ,35,2
KOLRES04DEL01 ,29,1
PUNERES02DEL01 ,24,1
JAPRES06DEL02 ,25,2
PUNERES15DEL01 ,20,0
SURRES18DEL01 ,28,1
RANCHIRES20DEL01 ,29,1
RANCHIRES06DEL02 ,37,1
KOLRES12DEL01 ,30,2
COIMBRES06DEL03 ,23,2
LUDHRES08DEL01 ,36,1
HYDRES13DEL03 ,39,2
BANGRES01DEL02 ,28,0
MUMRES11DEL01 ,32,2
HYDRES010DEL03 ,38,1
BHPRES14DEL03 ,32,2
MYSRES20DEL02 ,35,2
KOLRES03DEL03 ,33,0
HYDRES04DEL02 ,27,0
INDORES07DEL01 ,28,2
CHENRES18DEL01 ,27,0
BANGRES14DEL01 ,23,2
COIMBRES04DEL02 ,37,2
CHENRES09DEL03 ,36,0
AGRRES02DEL02 ,32,1
RANCHIRES09DEL03 ,38,2
MUMRES02DEL03 ,38,0
ALHRES010DEL02 ,27,2
HYDRES06DEL01 ,31,0
HYDRES20DEL02 ,21,0
COIMBRES02DEL01 ,26,1
PUNERES15DEL01 ,23,2
RANCHIRES07DEL02 ,36,1
COIMBRES07DEL03 ,NaN ,0
COIMBRES07DEL02 ,20,0
COIMBRES05DEL03 ,25,0
INDORES03DEL02 ,36,0
CHENRES18DEL02 ,27,0
AURGRES01DEL02 ,35,0
MYSRES02DEL01 ,31,1
DEHRES02DEL01 ,33,2
JAPRES15DEL01 ,23,2
BANGRES19DEL02 ,23,2
VADRES12DEL01 ,29,1
COIMBRES010DEL01 ,29,0
AURGRES13DEL02 ,30,2
HYDRES11DEL02 ,39,0
RANCHIRES11DEL03 ,34,0
VADRES20DEL02 ,36,1
HYDRES12DEL03 ,30,1
VADRES14DEL03 ,29,2
SURRES08DEL03 ,24,1
CHENRES02DEL02 ,37,1
CHENRES13DEL02 ,NaN ,1
SURRES11DEL02 ,30,1
HYDRES18DEL03 ,21,0
CHENRES17DEL02 ,33,0
MYSRES19DEL03 ,39,0
BANGRES11DEL02 ,25,1
LUDHRES13DEL03 ,26,1
VADRES010DEL01 ,30,2
GOARES07DEL02 ,37,0
DEHRES14DEL02 ,39,0
INDORES14DEL02 ,21,2
MYSRES03DEL01 ,31,0
JAPRES010DEL01 ,38,2
AGRRES04DEL02 ,35,0
RANCHIRES11DEL03 ,NaN ,3
VADRES09DEL03 ,39,2
COIMBRES07DEL02 ,31,2
RANCHIRES14DEL02 ,39,0
VADRES15DEL03 ,26,2
CHENRES010DEL03 ,39,2
HYDRES02DEL02 ,NaN ,2
AGRRES09DEL03 ,32,0
SURRES04DEL01 ,25,2
CHENRES010DEL03 ,38,0
BANGRES05DEL03 ,39,2
RANCHIRES17DEL01 ,33,1
BANGRES04DEL01 ,30,2
VADRES01DEL02 ,30,2
JAPRES06DEL03 ,21,0
RANCHIRES06DEL01 ,20,0
DEHRES12DEL03 ,28,2
AURGRES01DEL01 ,26,1
ALHRES18DEL02 ,31,0
GOARES20DEL01 ,27,0
MUMRES11DEL02 ,32,1
SURRES05DEL02 ,23,0
PUNERES09DEL02 ,26,2
SURRES06DEL01 ,34,1
PUNERES07DEL02 ,37,2
COIMBRES010DEL03 ,21,2
MYSRES02DEL02 ,28,0
VADRES04DEL02 ,23,1
INDORES08DEL01 ,33,1
MYSRES19DEL03 ,37,1
COIMBRES06DEL01 ,22,1
HYDRES04DEL03 ,29,0
JAPRES05DEL03 ,32,0
GOARES17DEL03 ,36,1
COIMBRES07DEL03 ,37,0
JAPRES010DEL01 ,31,1
PUNERES06DEL03 ,21,1
AGRRES01DEL01 ,NaN ,1
JAPRES20DEL03 ,35,1
COIMBRES14DEL01 ,36,0
CHENRES05DEL02 ,34,2
KOCRES03DEL01 ,26,0
JAPRES02DEL01 ,39,1
MYSRES18DEL01 ,33,1
VADRES19DEL01 ,36,0
BHPRES07DEL02 ,36,1
RANCHIRES05DEL01 ,27,0
KOLRES17DEL02 ,37,2
VADRES02DEL02 ,28,2
INDORES18DEL01 ,21,2
COIMBRES15DEL01 ,28,0
INDORES17DEL03 ,26,0
HYDRES05DEL01 ,39,2
