ID,City,Weatherconditions,Road_traffic_density
0x4632 ,Urban ,conditions Stormy,Medium 
0x4b8a ,Urban ,conditions Sunny,Jam 
0x1623 ,Metropolitian ,conditions Cloudy,Jam 
0xaa66 ,Metropolitian ,conditions Sunny,Jam 
0x7ea ,Metropolitian ,conditions Windy,Low 
0x4dfa ,Urban ,conditions Sandstorms,Low 
0xa667 ,Urban ,conditions Windy,Low 
0x6e9d ,Metropolitian ,conditions Stormy,High 
0x5807 ,Urban ,conditions Sandstorms,Jam 
0x9a32 ,Metropolitian ,conditions Cloudy,High 
0x917d ,Metropolitian ,conditions Cloudy,Low 
0x8673 ,Metropolitian ,conditions Windy,Medium 
0x4ac4 ,Metropolitian ,conditions Sandstorms,Jam 
0x1b6a ,Metropolitian ,conditions Windy,Low 
0x7bd7 ,Metropolitian ,conditions Cloudy,Jam 
0x9735 ,Urban ,conditions Windy,Low 
0x1a54 ,Urban ,conditions Windy,Medium 
0x819d ,Metropolitian ,conditions Fog,Medium 
0x96f0 ,Urban ,conditions Sandstorms,Medium 
0x66f1 ,Metropolitian ,conditions Cloudy,Jam 
0xc6e9 ,Urban ,conditions Sandstorms,High 
0xb8aa ,Metropolitian ,conditions Stormy,Low 
0xc668 ,Metropolitian ,conditions Windy,Jam 
0x4c13 ,Urban ,conditions Windy,Jam 
0x824a ,Metropolitian ,conditions Cloudy,Low 
0xcb5b ,Metropolitian ,conditions Windy,Low 
0x4cab ,Metropolitian ,conditions Sandstorms,Jam 
0xafc4 ,Metropolitian ,conditions Stormy,Low 
0xc003 ,Metropolitian ,conditions NaN,NaN 
0x18c0 ,Metropolitian ,conditions Stormy,Medium 
0x1655 ,Metropolitian ,conditions Cloudy,Low 
0x7573 ,Metropolitian ,conditions Windy,Low 
0x9201 ,Urban ,conditions Windy,Jam 
0xa940 ,Metropolitian ,conditions Sunny,Jam 
0x604 ,Urban ,conditions NaN,NaN 
0xd6ef ,Metropolitian ,conditions Cloudy,Jam 
0xb39b ,Metropolitian ,conditions Stormy,High 
0x8ce7 ,Urban ,conditions Windy,High 
0x9873 ,Metropolitian ,conditions Sandstorms,Medium 
0x29ab ,Metropolitian ,conditions Windy,Medium 
0x8198 ,Metropolitian ,conditions Windy,Medium 
0x7b24 ,Metropolitian ,conditions Fog,Low 
0x92ec ,Metropolitian ,conditions Windy,Low 
0x1aca ,Urban ,conditions Cloudy,High 
0xa348 ,Metropolitian ,conditions Fog,Low 
0xc733 ,Urban ,conditions Sandstorms,Low 
0x14d0 ,Metropolitian ,conditions Sunny,Low 
0xd800 ,Metropolitian ,conditions Fog,Jam 
0x17db ,NaN ,conditions Stormy,Jam 
0x6d58 ,Metropolitian ,conditions Sunny,Medium 
0xded5 ,Urban ,conditions Cloudy,Medium 
0xa20a ,Metropolitian ,conditions Fog,Low 
0x7c9e ,Metropolitian ,conditions Sandstorms,Low 
0x5ef3 ,Urban ,conditions Sandstorms,Medium 
0x80c2 ,Metropolitian ,conditions Cloudy,Low 
0xd2b0 ,Metropolitian ,conditions Cloudy,Jam 
0x70ff ,Metropolitian ,conditions Fog,Medium 
0x548e ,Metropolitian ,conditions Fog,Jam 
0x26f1 ,Metropolitian ,conditions Cloudy,Medium 
0x4a1b ,Urban ,conditions Stormy,Low 
0xbf6c ,Urban ,conditions Sunny,Jam 
0x5561 ,Urban ,conditions Cloudy,Jam 
0xafd4 ,Metropolitian ,conditions Sunny,High 
0x6957 ,Urban ,conditions Fog,Medium 
0x9151 ,Urban ,conditions Stormy,Jam 
0x9d4c ,Urban ,conditions Fog,Low 
0xd413 ,Urban ,conditions Cloudy,Low 
0xc677 ,NaN ,conditions Stormy,Low 
0x4421 ,Metropolitian ,conditions Fog,High 
0xa631 ,Urban ,conditions Cloudy,Low 
0x3a16 ,NaN ,conditions Windy,Jam 
0xdf8e ,Metropolitian ,conditions Cloudy,High 
0xa04 ,Metropolitian ,conditions Fog,Jam 
0x4300 ,Metropolitian ,conditions Windy,Low 
0x58c2 ,Metropolitian ,conditions Stormy,Low 
0xbbc6 ,Metropolitian ,conditions Windy,Low 
0x50c4 ,Metropolitian ,conditions Sandstorms,Medium 
0xbcd5 ,Metropolitian ,conditions Cloudy,Low 
0x6234 ,Metropolitian ,conditions Windy,Medium 
0xcc11 ,Metropolitian ,conditions Sandstorms,Jam 
0x6445 ,Metropolitian ,conditions Windy,Medium 
0x33dc ,Metropolitian ,conditions Windy,Jam 
0xacd8 ,Urban ,conditions Windy,Jam 
0xbfb4 ,Urban ,conditions Stormy,High 
0xd989 ,Metropolitian ,conditions Stormy,Medium 
0x8b3f ,Metropolitian ,conditions Windy,High 
0xdeb4 ,Metropolitian ,conditions Stormy,Low 
0xa243 ,Metropolitian ,conditions Fog,Medium 
0xd446 ,Metropolitian ,conditions Sandstorms,Low 
0x6436 ,Metropolitian ,conditions Stormy,Jam 
0x5d2d ,Metropolitian ,conditions Stormy,Low 
0xbb22 ,NaN ,conditions Cloudy,Jam 
0x8b2b ,Metropolitian ,conditions Sandstorms,Jam 
0xc1ec ,Metropolitian ,conditions Sunny,Medium 
0xde6f ,Metropolitian ,conditions Sandstorms,Medium 
0x33a0 ,Metropolitian ,conditions Fog,Medium 
0xb712 ,Metropolitian ,conditions Sandstorms,Jam 
0x8299 ,Metropolitian ,conditions Windy,Jam 
0x9e30 ,Metropolitian ,conditions Windy,Jam 
0x9155 ,Metropolitian ,conditions Windy,Low 
0x3d8c ,Metropolitian ,conditions Stormy,Low 
0xd3fa ,Metropolitian ,conditions Sandstorms,Jam 
0xbb9 ,Metropolitian ,conditions NaN,NaN 
0xb012 ,Metropolitian ,conditions Sandstorms,Low 
0xdcaa ,Metropolitian ,conditions Sandstorms,Jam 
0x9587 ,Metropolitian ,conditions Fog,Medium 
0x43ba ,Metropolitian ,conditions Stormy,Medium 
0x5803 ,Urban ,conditions Windy,Low 
0x70f5 ,Metropolitian ,conditions Fog,Low 
0x575d ,Metropolitian ,conditions Stormy,Low 
0x6ef ,Metropolitian ,conditions Windy,Medium 
0x4f3c ,Metropolitian ,conditions Cloudy,Jam 
0xb9bc ,Metropolitian ,conditions Sunny,Medium 
